season,reception,passing_yards,pass_touchdown,rush_touchdown,interception,fumble_lost,rushing_yards,two_pt,receiving_yards,receive_touchdown,id,fantasy_pts
1999,0,1276.0,7.0,0.0,9.0,6.0,33.0,0.0,0.0,0.0,00-0012726,52.33999999999999
2000,0,1047.0,2.0,0.0,8.0,0.0,68.0,0.0,0.0,0.0,00-0012726,40.68000000000001
2001,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,00-0012726,-0.1
2002,0,134.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,00-0012726,9.26
2003,0,16.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,00-0012726,-0.06000000000000005
2004,0,120.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,00-0012726,2.3
1999,41,0.0,0.0,4.0,0.0,4.0,1273.0,0.0,294.0,2.0,00-0015523,225.70000000000002
2000,25,0.0,0.0,1.0,0.0,2.0,344.0,0.0,201.0,0.0,00-0015523,81.5
2001,63,0.0,0.0,2.0,0.0,1.0,604.0,0.0,626.0,2.0,00-0015523,208.0
2002,51,0.0,0.0,5.0,0.0,0.0,1029.0,1.0,541.0,3.0,00-0015523,258.0
2003,36,0.0,0.0,5.0,0.0,2.0,457.0,0.0,382.0,2.0,00-0015523,157.9
2004,6,0.0,0.0,1.0,0.0,2.0,830.0,0.0,55.0,0.0,00-0015523,96.5
2005,6,0.0,0.0,1.0,0.0,0.0,148.0,0.0,34.0,0.0,00-0015523,30.200000000000003
1999,49,0.0,0.0,0.0,0.0,2.0,553.0,0.0,335.0,0.0,00-0011869,133.8
2000,16,0.0,0.0,0.0,0.0,0.0,50.0,0.0,93.0,0.0,00-0011869,30.3
2003,4,0.0,0.0,0.0,0.0,0.0,107.0,0.0,32.0,0.0,00-0011869,17.900000000000002
1999,0,2111.0,9.0,2.0,24.0,1.0,121.0,0.0,0.0,0.0,00-0013042,94.53999999999999
2000,0,2946.0,13.0,0.0,21.0,4.0,183.0,0.0,0.0,0.0,00-0013042,138.14000000000001
2001,0,3653.0,18.0,0.0,14.0,3.0,163.0,1.0,0.0,0.0,00-0013042,202.42000000000002
2002,1,2972.0,18.0,2.0,20.0,6.0,283.0,1.0,2.0,0.0,00-0013042,182.38
2003,0,2183.0,15.0,3.0,7.0,2.0,205.0,0.0,0.0,0.0,00-0013042,167.82
2004,0,4089.0,27.0,1.0,20.0,1.0,215.0,0.0,0.0,0.0,00-0013042,257.06
2005,0,3366.0,18.0,2.0,7.0,2.0,156.0,1.0,0.0,0.0,00-0013042,218.24
2006,0,1994.0,11.0,1.0,13.0,2.0,112.0,0.0,0.0,0.0,00-0013042,110.96000000000001
